"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%s's Wishlist","Wishlist của %s"
"* Required Fields","* Required Fields"
"Add All to Cart","&#272;&#7863;t mua h&#7871;t"
"Add to Cart","&#272;&#7863;t mua"
"Add to Wishlist","Th&ecirc;m v&agrave;o Wishlist"
"Added On","Th&ecirc;m ng&agrave;y"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","Quay l&#7841;i"
"Can\'t save description %s","Can\'t save description %s"
"Cannot create wishlist","Cannot create wishlist"
"Cannot specify product","Cannot specify product"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Click ch&#7885;n n&#7871;u b&#7841;n mu&#7889;n g&#7917;i lu&ocirc;n link RSS c&#7911;a Wishlist n&agrave;y."
"Comment","Tin nh&#7855;n"
"Email Sender","Ng&#432;&#7901;i g&#7917;i"
"Email Template","Email Template"
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","Nh&#7853;p &#273;&#7883;a ch&#7881; email c&#7847;n g&#7917;i t&#7899;i, n&#7871;u nhi&#7873;u email th&igrave; c&aacute;ch nhau b&#7857;ng d&#7845;u , (ph&#7849;y)"
"Enabled","Enabled"
"General Options","General Options"
"Go to Wishlist","Xem trang Wishlist"
"Last Added Items","S&#7843;n ph&#7849;m v&#7915;a th&ecirc;m"
"Message","Message"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Nh&#7853;p ghi ch&uacute; cho s&#7843;n ph&#7849;m t&#7841;i &#273;&acirc;y..."
"Product","S&#7843;n ph&#7849;m"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","B&#7841;n c&oacute; th&#7875; xem nhi&#7873;u s&#7843;n ph&#7849;m kh&aacute;c c&#7911;a %s' theo d&#7841;ng RSS"
"Remove Item","X&oacute;a"
"Share Wishlist","Gi&#7899;i thi&#7879;u Wishlist n&agrave;y"
"Share Your Wishlist","Gi&#7899;i thi&#7879;u Wishlist c&#7911;a b&#7841;n"
"Share options","Share options"
"Sharing Information","Sharing Information"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while deleting item from wishlist.","There was an error while deleting item from wishlist."
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","C&#7853;p nh&#7853;t Wishlist"
"View Product","Xem s&#7843;n ph&#7849;m"
"Wishlist","Wishlist"
"Wishlist Sharing","Wishlist Sharing"
"Wishlist is empty now.","Wishlist is empty now."
"You have no items in your wishlist.","You have no items in your wishlist."
"You input not valid email address.","You input not valid email address."
"Your Wishlist was successfully shared","Your Wishlist was successfully shared"
