"N/A","Không áp dụng"
"Invalid data","Dữ liệu không hợp lệ"
"Paypal Checkout","Thanh toán với PayPal"
"Please select a valid shipping method","Hãy chọn phương thức vận chuyển hợp lệ"
"Sale","Bán hàng"
"Discover","Phát hiện"
"Amex","Amex"
"Visa","Visa"
"Problem during communication with PayPal","Có trục trặc trong giao tiếp với PayPal"
"MasterCard","MasterCard"
"There was an error during communication with Paypal: %s - %s","Có trục trặc trong quá trình giao tiếp với Paypal: %s - %s"
"There was an error connecting to the Paypal server: %s","Có lỗi khi kết nối với máy chủ Paypal: %s"
"Order","Đặt hàng"
"Authorization","Cấp phép"
"Change Payment Method","Đổi phương thức thanh toán"
"Update Shipping Method","Cập nhật phương thức vận chuyển"
"Payment Method","Phương thức thanh toán"
"Place an Order","Đặt hàng"
"Shipping Method","Phương thức vận chuyển"
"Billing Information","Thông tin thanh toán"
"Sorry, no quotes are available for this order at this time.","Xin lỗi, hiện nay không có báo giá nào cho đơn đặt hàng này."
"Price","Giá"
"Shipping Information","Thông tin vận chuyển"
"Qty","Số lượng"
"review Order","Nhận xét đặt hàng"
"Edit Shopping Cart","Soạn Giỏ hàng"
"Change Shipping Address","Đổi địa chỉ vận chuyển"
"Product Name","Tên Sản phẩm"
"PayPal Account","Tài khoản PayPal"
"Your billing address will be ignored and you will be redirected to PayPal website","Bỏ qua địa chỉ thanh toán của bạn và chuyển hướng đến trang web của PayPal"
"Sản phẩm in Your Shopping Cart","Các Sản phẩm trong Giỏ hàng"
"Subtotal","Tổng số phụ"
"Shipping Address","Địa chỉ vận chuyển"
"Please select a shipping method...","Chọn một phương thức vận chuyển…"
