"You tag was successfully saved","Thẻ đã được lưu"
"Your tag(s) have been submitted","Đã gửi thẻ"
"List","Danh sách"
"You tag was successfully deleted","Thẻ đã được xoá"
"Unable to save your tag. Please, try again later.","Không thể lưu thẻ. Hãy thử lại sau."
"Price","Giá"
"All Tags","Mọi thẻ"
"Tag","Thẻ"
"Unable to save tag(s)","Không thể lưu thẻ"
"Thank you. Your tag has been accepted for moderation.","Cảm ơn. Thẻ của bạn đã được chấp nhận để xem xét."
"Unable to remove tag. Please, try again later.","Không thể gỡ thẻ được. Hãy thử lại sau."
"Grid","Lưới"
"Products tagged with '%s'","Sản phẩm gắn thẻ '%s'"
"No matches found.","Không tìm ra."
"Data integrity: No header row found for attribute","Toàn vẹn dữ liệu: Không có dòng tiêu đề cho thuộc tính"
"Name","Tên"
"View All Tags","Xem tất cả thẻ"
"Other people marked this product with these tags:","Những người khác đánh dấu Sản phẩm này bằng thẻ:"
"Add Your Tags:","Thêm thẻ:"
"My Recent Tags","Thẻ mới sử dụng"
"Tags:","Các thẻ:"
"Are you sure you want to delete this tag?","Bạn có muốn xóa thẻ?"
"Tag Name: %s","Tên thẻ: %s"
"Unable to find any product tagged with '%s'","Không thấy Sản phẩm nào có gắn thẻ '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Sản phẩm gắn thẻ '%s' (<a href='%s'>RSS</a>)"
"Save Tag","Lưu thẻ"
"Tags Aren't Available","Không có sẵn thẻ"
"Use spaces to separate tags. Use single quotes (') for phrases.","Dùng khoảng trống để tách các thẻ. Dùng dấu nháy đơn (') cho các cụm từ."
"Popular Tags","Thẻ phổ biến"
"Add Tags","Thêm thẻ"
"Add to Cart","Bỏ vào Giỏ"
"You have not tagged any products yet.","Bạn chưa gắn thẻ cho Sản phẩm nào."
"Product Tags","Thẻ Sản phẩm "
"Add to Wishlist","Thêm vào Danh sách mong ước"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Kết quả tìm kiếm cho '%s' (<a href='%s'>RSS</a>)"
"My Tags","Thẻ của tôi"
"Click on a tag to view your corresponding products.","Nhấp vào một thẻ để xem các Sản phẩm tương ứng."
"Delete Tag","Xóa Thẻ"
"Edit Tag","Sửa thẻ"
"Tag ""%s"" has already been added to the product","Tag ""%s"" đã được gán cho sản phẩm"
