"SKU","Mã số sản phẩm"
"Category","Loại hàng"
"Please select static block ...","Hãy chọn khối tĩnh…"
"Static block and products","Khối tĩnh và Sản phẩm"
"Go to Home Page","Trở về trang chủ"
"Images","Hình"
"Small Image","Hình nhỏ"
"Products only","Chỉ cho Sản phẩm"
"Meta Keywords","Từ khóa Meta"
"Data integrity: No header row found for attribute","Toàn vẹn dữ liệu: Không có dòng tiêu đề cho thuộc tính"
"Page Title","Tựa trang"
"Status","Trạng thái"
"Description","Mô tả"
"Cannot retrieve current category object","Không thể lấy được đối tượng loại hiện hành"
"Tier Price","Giá theo bậc"
"Price","Giá"
"Meta Title","Tựa đề Meta"
"Static block only","Chỉ có khối tĩnh"
"Visibility","Thấy được"
"Thumbnail","Thumbnail"
"Filter model name must be declared","Tên mẫu lọc phải được thông báo"
"Filter must be as object. Set correct filter please","Bộ lọc phải là đối tượng. Hãy đặt đúng bộ lọc"
"Base Image","Hình cơ bản"
"Prices","Giá"
"Grid","Lưới"
"Is Qty Decimal","Là số thập phân"
"Manufacturer","Nhà sản xuất"
"Page Layout","Bố cục trang"
"Best Value","Giá trị nhất"
"Name","Tên"
"Invalid Attribute Requested","Yêu cầu thuộc tính không hợp lệ"
"Meta Description","Mô tả Meta"
"Short Description","Mô tả vắn tắt"
"Is Anchor","Là mấu neo"
"List","Danh sách"
"Filters must be as array","Bộ lọc phải là mảng"
"Meta Information","Thông tin Meta"
"No layout updates","Không có cập nhật sơ đồ"
"General","Tổng quát"
"Compare Products List","So sánh Danh sách Sản phẩm"
"Invalid block: %s","Khối không hợp lệ: %s"
"CMS Block","Khối CMS"
"Attribute source ""%s"" not found","Không có nguồn thuộc tính ""%s"" nào"
"All","Tất cả"
"Qty","Số lượng"
"Attribute model not defined","Mô hình thuộc tính không được định nghĩa"
"Weight","Trọng lượng"
"Color","Màu"
"URL key","Khóa URL"
"Image","Hình"
"Choose option...","Chọn lựa…"
"Is Active","Đang hoạt động"
"Cost","Giá thành"
"Image Gallery","Thư viện ảnh"
"Display Mode","Chế độ hiển thị"
"Attribute saver ""%s"" not found","Không có bộ lưu thuộc tính ""%s"" nào"
"Home","Trang chủ"
"Tax Class","Nhóm thuế"
"Minimal Price","Giá tối thiểu"
"Special Price","Giá đặc biệt"
"Add to Compare","Thêm để so sánh"
"Clear All Sản phẩm","Xóa hết Sản phẩm"
"Availability: In stock. Ships within 24hours.","Tình trạng: Có hàng. Vận chuyển trong 24 giờ."
"Next","Tiếp"
"Quick Overview","Tổng quan"
"Add to My Wishlist","Thêm vào Danh sách yêu thích"
"Add Sản phẩm to Cart","Bỏ vào Giỏ"
"Related Products","Sản phẩm liên quan"
"See all %s","Xem tất cả %s"
"Best Selling Products","Sản phẩm bán chạy nhất"
"Product Attribute Specs","Đặc tả thuộc tính Sản phẩm"
"Prev","Trước"
"Choose an Option...","Lựa một tuỳ chọn…"
"View as","Xem như"
"This bundle is out of stock.","Gói này đã hết hàng."
"Shopping Options","Lựa chọn mua sắm"
"Compare Products","So sánh Sản phẩm"
"Product Description","Mô tả Sản phẩm"
"Remove This Item","Lấy Sản phẩm này ra"
"Shop by","Mua bằng"
"More Views","Xem thêm"
"There are no products matching the selection.","Không có Sản phẩm nào ứng với lựa chọn này."
"Remove Product","Gỡ bỏ Sản phẩm"
"Product Name","Tên Sản phẩm"
"Availability: Out of stock.","Trạng thái: Hết hàng."
"Page:","Trang:"
"You have no Sản phẩm to compare.","Bạn không có Sản phẩm nào để so sánh."
"Buy %s for %s each","Mua %s giá <strong>%s mỗi Sản phẩm</strong>"
"Compare Sản phẩm","So sánh hàng"
"Zoom In","Phóng to"
"Add to Cart","Bỏ vào Giỏ"
"No options of this product are available.","Không có lựa chọn nào cho Sản phẩm này."
"Zoom Out","Thu nhỏ"
"Sản phẩm %s to %s of %s total","Sản phẩm %s đến %s trong tổng số %s"
"Regular Price:","Giá thông thường:"
"Print This Page","In trang này"
"Old Price:","Giá cũ:"
"Compare Products - %d Items","So sánh Sản phẩm - %d Sản phẩm"
"Sort by","Xếp theo"
"Availability: In stock. Ships within 24 hours.","Tình trạng: Có hàng. Vận chuyển trong vòng 24 giờ."
"Add to Wishlist","Thêm vào Danh sách mong ước"
"View Details","Xem chi tiết"
"Browse By","Duyệt theo"
"Out of Stock","Hết hàng"
"Check Sản phẩm to add to the cart or select all.","Kiểm tra các Sản phẩm để bỏ vào Giỏ hàng hoặc <a href=""#"" onclick=""selectAllRelated();return false;"">chọn hết</a>."
"Show","Hiển thị"
"per page","mỗi trang"
"Close Window","Đóng cửa sổ"
"Set Ascending Direction","Định hướng tăng lên"
"Cross-sell Products","Sản phẩm bán chéo"
"Learn More","Xem thêm"
"Category Navigation:","Duyệt Loại hàng:"
"Set Descending Direction","Định hướng giảm xuống"
"You may also be interested in the following product(s)","Bạn có thể cũng quan tâm đến những Sản phẩm sau"
"Additional Information","Thông tin thêm"
"Previous","Trước"
"Currently Shopping by","Hiện đang mua bởi"
"OR","HOẶC"
"%s Item(s)","%s Sản phẩm"
"Recently added item(s)","Sản phẩm mới được thêm vào"
"Last ordered items","Sản phẩm trong giỏ hàng trước đó"
"Compare Items","So sánh"
"Clear All","Xóa hết"
"You have no items to compare.","Không có sản phẩm nào trong giỏ hàng."
"Items %s to %s of %s total","Hiển thị từ %s → %s trong tổng số %s sản phẩm"
"Are you sure you would like to remove all products from your comparison?","Bạn có chắc là muốn xóa tất cả các sản phẩm trong bảng so sánh của bạn?"
"Are you sure you would like to remove this item from the compare products?","Bạn có chắc là muốn xóa sản phẩm này ra khỏi danh sách so sánh của bạn?"
"Short Description","Tóm tắt"
"Product %s successfully added to compare list","Sản phẩm %s đã được thêm vào danh sách so sánh"
"Change","Sửa"
